TARIFF,EFF_DATE,CHANGE,SUB_CHAP,DESC1,DESC2,DESC3,FOOTNOTE,UOM,MFN,AUT,NZT,CCCT,LDCT,GPT,UST,MXT,CIAT,CT,CRT,IT,NT,SLT,PT,COLT,JT,PAT,HNT,KRT,CEUT,CPTPT,UKT,row_id,UAT,General Tariff
"0106.41.00.10","01/01/17 00:00:00",0,,"Honey bees, not including queen bees",,,,"KGM",,,,,,,,,,,,,,,,,,,,,,,,26959,,
"0106.41.00.20","01/01/12 00:00:00",0,,"Queen bees",,,,"NMB",,,,,,,,,,,,,,,,,,,,,,,,26960,,
"0106.41.00.90","01/01/12 00:00:00",0,,"Other",,,,"-  ",,,,,,,,,,,,,,,,,,,,,,,,26961,,
"0106.49.00","04/01/21 00:00:00",0,,"Other",,,,,"Free",,,"Free","Free","Free","Free","Free","Free","Free","Free",,,,"Free","Free","Free","Free","Free","Free","Free","Free","Free",26962,"Free","35%"
"0106.49.00.00","01/01/12 00:00:00",0,,"Other",,,,"-  ","Free",,,"Free","Free","Free","Free","Free","Free","Free","Free",,,,"Free","Free","Free","Free","Free","Free","Free","Free","Free",26963,"Free","35%"
"0106.90.00","04/01/21 00:00:00",0,,"Other",,,,,"Free",,,"Free","Free","Free","Free","Free","Free","Free","Free",,,,"Free","Free","Free","Free","Free","Free","Free","Free","Free",26964,"Free","35%"
"0106.90.00.10","01/01/12 00:00:00",0,,"Bait",,,,"-  ",,,,,,,,,,,,,,,,,,,,,,,,26965,,
"0106.90.00.20","01/01/17 00:00:00",0,,"Amphibians",,,,"NMB",,,,,,,,,,,,,,,,,,,,,,,,26966,,
"0106.90.00.90","01/01/02 00:00:00",0,,"Other",,,,"-  ",,,,,,,,,,,,,,,,,,,,,,,,26967,,
"0201.10","01/01/98 00:00:00",0,,"Carcasses and half-carcasses",,,,,,,,,,,,,,,,,,,,,,,,,,,,26969,,
"0201.10.10","09/01/19 00:00:00",0,,"Within access commitment",,,,,"Free",,,"Free","Free","Free","Free","Free","Free","Free","Free",,,,"Free","Free","Free","Free","Free","Free","Free","Free","Free",26970,"Free","35%"
"0201.10.10.10","01/01/98 00:00:00",0,,"Veal",,,,"KGM",,,,,,,,,,,,,,,,,,,,,,,,26971,,
"0201.10.10.90","01/01/98 00:00:00",0,,"Other",,,,"KGM",,,,,,,,,,,,,,,,,,,,,,,,26972,,
"0201.10.20.10","01/01/98 00:00:00",0,,"Veal",,,,"KGM",,,,,,,,,,,,,,,,,,,,,,,,26974,,
"0201.10.20.90","01/01/98 00:00:00",0,,"Other",,,,"KGM",,,,,,,,,,,,,,,,,,,,,,,,26975,,
"0201.20","01/01/98 00:00:00",0,,"Other cuts with bone in",,,,,,,,,,,,,,,,,,,,,,,,,,,,26976,,
"0201.20.10","04/01/21 00:00:00",0,,"Within access commitment",,,,,"Free",,,"Free","Free","Free","Free","Free","Free","Free","Free",,,,"Free","Free","Free","Free","Free","Free","Free","Free","Free",26977,"Free","35%"
"0201.20.10.10","01/01/98 00:00:00",0,,"Veal",,,,"KGM",,,,,,,,,,,,,,,,,,,,,,,,26978,,
"0201.20.10.80","01/01/14 00:00:00",0,,"Other, processed
",,,,"KGM",,,,,,,,,,,,,,,,,,,,,,,,26979,,
"0201.20.10.9","01/01/98 00:00:00",0,,"Other:",,,,,,,,,,,,,,,,,,,,,,,,,,,,26980,,
"0201.20.10.93","01/01/98 00:00:00",0,,"Loin",,,,"KGM",,,,,,,,,,,,,,,,,,,,,,,,26981,,
"0201.20.10.99","01/01/98 00:00:00",0,,"Other",,,,"KGM",,,,,,,,,,,,,,,,,,,,,,,,26982,,
